,id,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0,67yGCF3TZaKI2MJThw02j9,Hayyom T'amtzeinu,"Miller, Benzion: Cantor Benzion Miller Sings Cantorial Concert Masterpieces",Benzion Miller,2005-01-01,317413,0,0.305,0.15,7,-18.091,0,0.0386,0.97,0.0,0.078,0.341,77.244,audio_features,spotify:track:67yGCF3TZaKI2MJThw02j9,https://api.spotify.com/v1/tracks/67yGCF3TZaKI2MJThw02j9,https://api.spotify.com/v1/audio-analysis/67yGCF3TZaKI2MJThw02j9,317413,4,1
1,72n6wobq0oMSV0meSaS4LZ,Amar Rabi Elazar,Moishe Oysher: The Master Singer of His People!,Arik Luck,2010-07-05,181493,0,0.466,0.625,2,-6.985,0,0.332,0.838,0.0,0.956,0.818,148.893,audio_features,spotify:track:72n6wobq0oMSV0meSaS4LZ,https://api.spotify.com/v1/tracks/72n6wobq0oMSV0meSaS4LZ,https://api.spotify.com/v1/audio-analysis/72n6wobq0oMSV0meSaS4LZ,181493,4,5
2,077glzSQGYIQPCgQFfpBWR,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Hymn of Vesting,Komitas: Divine Liturgy,Komitas,2020-07-10,95403,7,0.264,0.152,2,-21.229,1,0.0392,0.986,3.22e-06,0.0788,0.0882,130.647,audio_features,spotify:track:077glzSQGYIQPCgQFfpBWR,https://api.spotify.com/v1/tracks/077glzSQGYIQPCgQFfpBWR,https://api.spotify.com/v1/audio-analysis/077glzSQGYIQPCgQFfpBWR,95403,4,7
3,1YucT9hYeAkxKXnT2Vr8mT,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Chosen of God,Komitas: Divine Liturgy,Komitas,2020-07-10,182071,5,0.221,0.209,9,-20.569,1,0.0374,0.995,0.234,0.182,0.129,109.982,audio_features,spotify:track:1YucT9hYeAkxKXnT2Vr8mT,https://api.spotify.com/v1/tracks/1YucT9hYeAkxKXnT2Vr8mT,https://api.spotify.com/v1/audio-analysis/1YucT9hYeAkxKXnT2Vr8mT,182071,5,7
4,3aNlUaSGDKJQQ4TsBhBLWr,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): With Your Virgin Mother's Intercession,Komitas: Divine Liturgy,Komitas,2020-07-10,225691,5,0.195,0.2,7,-19.542,1,0.0419,0.995,0.000429,0.146,0.0845,136.945,audio_features,spotify:track:3aNlUaSGDKJQQ4TsBhBLWr,https://api.spotify.com/v1/tracks/3aNlUaSGDKJQQ4TsBhBLWr,https://api.spotify.com/v1/audio-analysis/3aNlUaSGDKJQQ4TsBhBLWr,225691,3,7
5,3Bfhe5Q3eXjpkfFAW1JXSH,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Annunciation of the Procession,Komitas: Divine Liturgy,Komitas,2020-07-10,113552,4,0.175,0.163,2,-20.992,1,0.0383,0.993,0.00722,0.0738,0.109,76.546,audio_features,spotify:track:3Bfhe5Q3eXjpkfFAW1JXSH,https://api.spotify.com/v1/tracks/3Bfhe5Q3eXjpkfFAW1JXSH,https://api.spotify.com/v1/audio-analysis/3Bfhe5Q3eXjpkfFAW1JXSH,113553,1,7
6,2OSliaP6QSxKh72nnJWYGO,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Entrance Hymn,Komitas: Divine Liturgy,Komitas,2020-07-10,84266,4,0.285,0.0695,7,-23.793,1,0.0485,0.995,6.23e-06,0.101,0.0998,137.92,audio_features,spotify:track:2OSliaP6QSxKh72nnJWYGO,https://api.spotify.com/v1/tracks/2OSliaP6QSxKh72nnJWYGO,https://api.spotify.com/v1/audio-analysis/2OSliaP6QSxKh72nnJWYGO,84267,1,7
7,7iCzmuMsrmkFlthVbFxgZV,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Holy God,Komitas: Divine Liturgy,Komitas,2020-07-10,43420,4,0.248,0.265,7,-17.038,1,0.0602,0.993,0.971,0.13,0.0379,76.664,audio_features,spotify:track:7iCzmuMsrmkFlthVbFxgZV,https://api.spotify.com/v1/tracks/7iCzmuMsrmkFlthVbFxgZV,https://api.spotify.com/v1/audio-analysis/7iCzmuMsrmkFlthVbFxgZV,43421,4,3
8,7vZKkDyL0SmZzFG86JTn8E,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Pray for Peace,Komitas: Divine Liturgy,Komitas,2020-07-10,145433,4,0.285,0.101,7,-20.871,1,0.047,0.994,4.6e-05,0.152,0.0685,119.519,audio_features,spotify:track:7vZKkDyL0SmZzFG86JTn8E,https://api.spotify.com/v1/tracks/7vZKkDyL0SmZzFG86JTn8E,https://api.spotify.com/v1/audio-analysis/7vZKkDyL0SmZzFG86JTn8E,145434,4,7
9,754OO3rzwVax3o3phkMXEb,"Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Glory to You, God",Komitas: Divine Liturgy,Komitas,2020-07-10,457609,4,0.18,0.0594,2,-23.519,1,0.0427,0.992,6.75e-05,0.0939,0.0426,70.192,audio_features,spotify:track:754OO3rzwVax3o3phkMXEb,https://api.spotify.com/v1/tracks/754OO3rzwVax3o3phkMXEb,https://api.spotify.com/v1/audio-analysis/754OO3rzwVax3o3phkMXEb,457610,4,7
10,5VISMx4D2pU1l96Yhkyh3F,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): The Body of the Lord,Komitas: Divine Liturgy,Komitas,2020-07-10,90417,3,0.222,0.155,7,-20.419,1,0.0426,0.994,0.00154,0.141,0.0358,83.653,audio_features,spotify:track:5VISMx4D2pU1l96Yhkyh3F,https://api.spotify.com/v1/tracks/5VISMx4D2pU1l96Yhkyh3F,https://api.spotify.com/v1/audio-analysis/5VISMx4D2pU1l96Yhkyh3F,90418,3,7
11,4PU4GujdVEef1UGZuLv2r3,"Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Who Is Lord, Our God",Komitas: Divine Liturgy,Komitas,2020-07-10,168263,4,0.229,0.0841,4,-25.584,1,0.0422,0.995,0.884,0.113,0.0399,68.224,audio_features,spotify:track:4PU4GujdVEef1UGZuLv2r3,https://api.spotify.com/v1/tracks/4PU4GujdVEef1UGZuLv2r3,https://api.spotify.com/v1/audio-analysis/4PU4GujdVEef1UGZuLv2r3,168263,3,3
12,0hEVsOUZkJS0DdPG7uvxaN,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Again in Peace Let Us Beseech the Lord,Komitas: Divine Liturgy,Komitas,2020-07-10,131777,3,0.276,0.0367,4,-28.096,1,0.0394,0.992,6.87e-06,0.266,0.0616,64.404,audio_features,spotify:track:0hEVsOUZkJS0DdPG7uvxaN,https://api.spotify.com/v1/tracks/0hEVsOUZkJS0DdPG7uvxaN,https://api.spotify.com/v1/audio-analysis/0hEVsOUZkJS0DdPG7uvxaN,131778,4,7
13,5bdDv2aOgl4r5naw9mPOgl,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Christ Among Us,Komitas: Divine Liturgy,Komitas,2020-07-10,58987,3,0.204,0.241,4,-16.828,1,0.0365,0.996,0.874,0.192,0.13,64.164,audio_features,spotify:track:5bdDv2aOgl4r5naw9mPOgl,https://api.spotify.com/v1/tracks/5bdDv2aOgl4r5naw9mPOgl,https://api.spotify.com/v1/audio-analysis/5bdDv2aOgl4r5naw9mPOgl,58987,4,3
14,38WtY21W4DdvWpwI3S8fWC,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Let Us Stand in Awe,Komitas: Divine Liturgy,Komitas,2020-07-10,230227,3,0.139,0.0401,4,-27.84,1,0.0517,0.991,0.000146,0.303,0.0394,60.07,audio_features,spotify:track:38WtY21W4DdvWpwI3S8fWC,https://api.spotify.com/v1/tracks/38WtY21W4DdvWpwI3S8fWC,https://api.spotify.com/v1/audio-analysis/38WtY21W4DdvWpwI3S8fWC,230228,4,7
15,404bWwcyrgeZgHR64UVtFh,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Sanctus,Komitas: Divine Liturgy,Komitas,2020-07-10,273305,8,0.16,0.0353,9,-29.862,1,0.0394,0.994,0.912,0.0624,0.0375,145.024,audio_features,spotify:track:404bWwcyrgeZgHR64UVtFh,https://api.spotify.com/v1/tracks/404bWwcyrgeZgHR64UVtFh,https://api.spotify.com/v1/audio-analysis/404bWwcyrgeZgHR64UVtFh,273306,4,3
16,7vt50bWXc6RTKizgnCOicj,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Heavenly Father,Komitas: Divine Liturgy,Komitas,2020-07-10,79036,3,0.24,0.0574,9,-27.663,1,0.0369,0.994,0.956,0.111,0.241,107.868,audio_features,spotify:track:7vt50bWXc6RTKizgnCOicj,https://api.spotify.com/v1/tracks/7vt50bWXc6RTKizgnCOicj,https://api.spotify.com/v1/audio-analysis/7vt50bWXc6RTKizgnCOicj,79037,1,3
17,2HSuwre2goxOnCt7cNZFS4,"Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): O Lord, You Are in All Things Blessed",Komitas: Divine Liturgy,Komitas,2020-07-10,82936,3,0.289,0.115,9,-23.335,1,0.0395,0.995,0.00203,0.24,0.0776,90.674,audio_features,spotify:track:2HSuwre2goxOnCt7cNZFS4,https://api.spotify.com/v1/tracks/2HSuwre2goxOnCt7cNZFS4,https://api.spotify.com/v1/audio-analysis/2HSuwre2goxOnCt7cNZFS4,82936,3,7
18,4kSQc2Lp8rzpL4c0jU3d0r,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Son of God,Komitas: Divine Liturgy,Komitas,2020-07-10,67486,3,0.264,0.0583,9,-27.45,1,0.0443,0.995,0.273,0.166,0.282,88.721,audio_features,spotify:track:4kSQc2Lp8rzpL4c0jU3d0r,https://api.spotify.com/v1/tracks/4kSQc2Lp8rzpL4c0jU3d0r,https://api.spotify.com/v1/audio-analysis/4kSQc2Lp8rzpL4c0jU3d0r,67486,4,7
19,0TiR7MeKBkdM7EnsV5cpgE,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Spirit of God,Komitas: Divine Liturgy,Komitas,2020-07-10,103506,2,0.091,0.0583,9,-26.212,1,0.045,0.995,0.882,0.096,0.0384,176.682,audio_features,spotify:track:0TiR7MeKBkdM7EnsV5cpgE,https://api.spotify.com/v1/tracks/0TiR7MeKBkdM7EnsV5cpgE,https://api.spotify.com/v1/audio-analysis/0TiR7MeKBkdM7EnsV5cpgE,103506,5,3
20,0fMPhtI98xTLWZ7BDdeq8l,"Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Be Mindful, Lord, and Have Mercy",Komitas: Divine Liturgy,Komitas,2020-07-10,201396,3,0.256,0.0616,7,-25.082,1,0.0444,0.994,0.000256,0.217,0.148,70.075,audio_features,spotify:track:0fMPhtI98xTLWZ7BDdeq8l,https://api.spotify.com/v1/tracks/0fMPhtI98xTLWZ7BDdeq8l,https://api.spotify.com/v1/audio-analysis/0fMPhtI98xTLWZ7BDdeq8l,201397,3,7
21,2DiMaLeoZYkNToMpKEhHCH,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): From All and for All,Komitas: Divine Liturgy,Komitas,2020-07-10,27486,0,0.333,0.204,2,-23.526,0,0.0406,0.995,2.99e-06,0.153,0.158,95.454,audio_features,spotify:track:2DiMaLeoZYkNToMpKEhHCH,https://api.spotify.com/v1/tracks/2DiMaLeoZYkNToMpKEhHCH,https://api.spotify.com/v1/audio-analysis/2DiMaLeoZYkNToMpKEhHCH,27486,1,7
22,2XkVVxx9XmStmv7AIdSTjE,"Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): And the Mercy, Amen",Komitas: Divine Liturgy,Komitas,2020-07-10,318383,2,0.271,0.0786,5,-22.66,1,0.047,0.991,3.65e-05,0.274,0.108,71.344,audio_features,spotify:track:2XkVVxx9XmStmv7AIdSTjE,https://api.spotify.com/v1/tracks/2XkVVxx9XmStmv7AIdSTjE,https://api.spotify.com/v1/audio-analysis/2XkVVxx9XmStmv7AIdSTjE,318383,3,7
23,6vOJH0BhqK4nhCOc4s0G8Q,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): The Lord's Prayer,Komitas: Divine Liturgy,Komitas,2020-07-10,183858,2,0.256,0.121,5,-21.865,1,0.0443,0.994,0.000188,0.0969,0.0394,83.164,audio_features,spotify:track:6vOJH0BhqK4nhCOc4s0G8Q,https://api.spotify.com/v1/tracks/6vOJH0BhqK4nhCOc4s0G8Q,https://api.spotify.com/v1/audio-analysis/6vOJH0BhqK4nhCOc4s0G8Q,183858,3,7
24,2gqeMGOiNreBXxLPjxJEm6,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): The Holy One,Komitas: Divine Liturgy,Komitas,2020-07-10,129258,2,0.118,0.0497,5,-28.856,1,0.0476,0.993,0.495,0.108,0.0487,72.16,audio_features,spotify:track:2gqeMGOiNreBXxLPjxJEm6,https://api.spotify.com/v1/tracks/2gqeMGOiNreBXxLPjxJEm6,https://api.spotify.com/v1/audio-analysis/2gqeMGOiNreBXxLPjxJEm6,129258,3,3
25,6aNY4wtnKOFFoiBZyc6Vq8,"Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Amen, Holy Is the Father",Komitas: Divine Liturgy,Komitas,2020-07-10,194227,2,0.217,0.0535,7,-24.32,0,0.0411,0.994,0.0937,0.147,0.088,84.415,audio_features,spotify:track:6aNY4wtnKOFFoiBZyc6Vq8,https://api.spotify.com/v1/tracks/6aNY4wtnKOFFoiBZyc6Vq8,https://api.spotify.com/v1/audio-analysis/6aNY4wtnKOFFoiBZyc6Vq8,194228,4,7
26,6hfolIndHAXxwMUFgvtmUr,"Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Lord, Have Mercy",Komitas: Divine Liturgy,Komitas,2020-07-10,265203,3,0.156,0.101,7,-24.468,0,0.0452,0.993,0.0515,0.0879,0.0489,89.026,audio_features,spotify:track:6hfolIndHAXxwMUFgvtmUr,https://api.spotify.com/v1/tracks/6hfolIndHAXxwMUFgvtmUr,https://api.spotify.com/v1/audio-analysis/6hfolIndHAXxwMUFgvtmUr,265203,4,7
27,6AKxICdFvoARM1oaUq23R7,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Christ Is Sacrificed,Komitas: Divine Liturgy,Komitas,2020-07-10,187628,2,0.183,0.103,8,-22.017,1,0.0383,0.994,0.000422,0.292,0.0949,82.952,audio_features,spotify:track:6AKxICdFvoARM1oaUq23R7,https://api.spotify.com/v1/tracks/6AKxICdFvoARM1oaUq23R7,https://api.spotify.com/v1/audio-analysis/6AKxICdFvoARM1oaUq23R7,187628,4,7
28,6dk0DwOUsN3xvpJswaCQ0M,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): We Have Been Filled with Your Good Things,Komitas: Divine Liturgy,Komitas,2020-07-10,89168,2,0.186,0.143,8,-21.696,1,0.0432,0.995,0.156,0.169,0.123,131.757,audio_features,spotify:track:6dk0DwOUsN3xvpJswaCQ0M,https://api.spotify.com/v1/tracks/6dk0DwOUsN3xvpJswaCQ0M,https://api.spotify.com/v1/audio-analysis/6dk0DwOUsN3xvpJswaCQ0M,89169,3,7
29,7DqwOOKgBzwLponmxbGRzI,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): We Give Thanks to You,Komitas: Divine Liturgy,Komitas,2020-07-10,195495,2,0.107,0.16,5,-21.476,0,0.0428,0.991,0.0,0.14,0.0762,76.907,audio_features,spotify:track:7DqwOOKgBzwLponmxbGRzI,https://api.spotify.com/v1/tracks/7DqwOOKgBzwLponmxbGRzI,https://api.spotify.com/v1/audio-analysis/7DqwOOKgBzwLponmxbGRzI,195495,3,7
30,4h3YGAiJkBe5xVy1NbICm8,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Pray in the Church and Bless the Name of the Lord,Komitas: Divine Liturgy,Komitas,2020-07-10,188815,1,0.206,0.104,1,-20.995,1,0.0438,0.994,0.0753,0.194,0.0792,79.385,audio_features,spotify:track:4h3YGAiJkBe5xVy1NbICm8,https://api.spotify.com/v1/tracks/4h3YGAiJkBe5xVy1NbICm8,https://api.spotify.com/v1/audio-analysis/4h3YGAiJkBe5xVy1NbICm8,188816,1,7
31,22lG9mjpgEoAVK57qIophf,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): I Will Bless the Lord at All Times,Komitas: Divine Liturgy,Komitas,2020-07-10,68426,3,0.27,0.146,1,-20.283,1,0.0342,0.994,9.96e-06,0.342,0.251,73.309,audio_features,spotify:track:22lG9mjpgEoAVK57qIophf,https://api.spotify.com/v1/tracks/22lG9mjpgEoAVK57qIophf,https://api.spotify.com/v1/audio-analysis/22lG9mjpgEoAVK57qIophf,68427,4,7
32,66vPUZ7YYxRpmCVqT6xlY4,Divine Liturgy (Arr. V. Sharafyan for Mixed Choir): Pontifical Wishes,Komitas: Divine Liturgy,Komitas,2020-07-10,104279,3,0.197,0.0361,7,-22.947,0,0.0365,0.993,0.0773,0.132,0.0389,82.087,audio_features,spotify:track:66vPUZ7YYxRpmCVqT6xlY4,https://api.spotify.com/v1/tracks/66vPUZ7YYxRpmCVqT6xlY4,https://api.spotify.com/v1/audio-analysis/66vPUZ7YYxRpmCVqT6xlY4,104279,5,7
33,3tHR2z9B3ES8IROFenzwHL,Communio: Domus Mea,Medieval & Gregorian Chant,Various Artists,2010-11-04,243000,1,0.231,0.0452,4,-24.231,0,0.0526,0.981,0.085,0.104,0.0393,105.389,audio_features,spotify:track:3tHR2z9B3ES8IROFenzwHL,https://api.spotify.com/v1/tracks/3tHR2z9B3ES8IROFenzwHL,https://api.spotify.com/v1/audio-analysis/3tHR2z9B3ES8IROFenzwHL,243000,4,7
34,1KUXnMwZk5yrbDK8KmYPBP,Gloria XII,Medieval & Gregorian Chant,Various Artists,2010-11-04,167000,1,0.243,0.0404,1,-22.479,1,0.0481,0.968,2.51e-05,0.309,0.0744,75.491,audio_features,spotify:track:1KUXnMwZk5yrbDK8KmYPBP,https://api.spotify.com/v1/tracks/1KUXnMwZk5yrbDK8KmYPBP,https://api.spotify.com/v1/audio-analysis/1KUXnMwZk5yrbDK8KmYPBP,167000,5,7
35,7glR6xPiWPmpj0Swze8TGP,5 Antiphonae,Medieval & Gregorian Chant,Various Artists,2010-11-04,129000,1,0.255,0.0413,1,-24.975,1,0.05,0.914,0.0729,0.155,0.0479,73.51,audio_features,spotify:track:7glR6xPiWPmpj0Swze8TGP,https://api.spotify.com/v1/tracks/7glR6xPiWPmpj0Swze8TGP,https://api.spotify.com/v1/audio-analysis/7glR6xPiWPmpj0Swze8TGP,129000,5,7
36,2wULaQbDeAkBQqasS8NVSR,Antiphona Ad Benedictus: Zachaee,Medieval & Gregorian Chant,Various Artists,2010-11-04,81000,1,0.224,0.0488,5,-23.767,1,0.0478,0.973,0.465,0.105,0.0441,102.116,audio_features,spotify:track:2wULaQbDeAkBQqasS8NVSR,https://api.spotify.com/v1/tracks/2wULaQbDeAkBQqasS8NVSR,https://api.spotify.com/v1/audio-analysis/2wULaQbDeAkBQqasS8NVSR,81000,5,3
37,710ir5jnvsG41EAPoIydfP,Offertorium: Domine Deus,Medieval & Gregorian Chant,Various Artists,2010-11-04,129000,1,0.145,0.0685,11,-23.88,0,0.0724,0.982,0.475,0.126,0.0343,71.877,audio_features,spotify:track:710ir5jnvsG41EAPoIydfP,https://api.spotify.com/v1/tracks/710ir5jnvsG41EAPoIydfP,https://api.spotify.com/v1/audio-analysis/710ir5jnvsG41EAPoIydfP,129000,4,3
38,1JNsLLwxWDOLMWEzCZa85l,Agnus Dei XII,Medieval & Gregorian Chant,Various Artists,2010-11-04,78000,1,0.133,0.0327,6,-26.693,0,0.0504,0.972,0.128,0.123,0.0393,76.007,audio_features,spotify:track:1JNsLLwxWDOLMWEzCZa85l,https://api.spotify.com/v1/tracks/1JNsLLwxWDOLMWEzCZa85l,https://api.spotify.com/v1/audio-analysis/1JNsLLwxWDOLMWEzCZa85l,78000,3,7
39,5TpuckvASBOxn17pxQ7c26,Hymnus: Angularis Fundamentum,Medieval & Gregorian Chant,Various Artists,2010-11-04,183000,0,0.196,0.0628,8,-23.18,1,0.0478,0.978,0.0295,0.111,0.0657,87.82,audio_features,spotify:track:5TpuckvASBOxn17pxQ7c26,https://api.spotify.com/v1/tracks/5TpuckvASBOxn17pxQ7c26,https://api.spotify.com/v1/audio-analysis/5TpuckvASBOxn17pxQ7c26,183000,3,7
40,60i9QGFeK0etrLztwYOJM5,Kyrie XII,Medieval & Gregorian Chant,Various Artists,2010-11-04,93000,0,0.258,0.0312,1,-23.678,1,0.0459,0.96,0.0358,0.109,0.0731,97.98,audio_features,spotify:track:60i9QGFeK0etrLztwYOJM5,https://api.spotify.com/v1/tracks/60i9QGFeK0etrLztwYOJM5,https://api.spotify.com/v1/audio-analysis/60i9QGFeK0etrLztwYOJM5,93000,3,7
41,5SXDrf2VyXa2eaEUlWq2OU,Lés L'ormel a La Turelle,Medieval & Gregorian Chant,Various Artists,2010-11-04,113000,0,0.299,0.0664,9,-21.639,0,0.0335,0.978,0.0,0.0934,0.234,99.985,audio_features,spotify:track:5SXDrf2VyXa2eaEUlWq2OU,https://api.spotify.com/v1/tracks/5SXDrf2VyXa2eaEUlWq2OU,https://api.spotify.com/v1/audio-analysis/5SXDrf2VyXa2eaEUlWq2OU,113000,4,7
42,6N1JZ3FQmvar8fpqyypLkq,Quant Je Le Voi,Medieval & Gregorian Chant,Various Artists,2010-11-04,69000,0,0.322,0.616,9,-13.17,0,0.25,0.952,0.000371,0.161,0.0918,177.776,audio_features,spotify:track:6N1JZ3FQmvar8fpqyypLkq,https://api.spotify.com/v1/tracks/6N1JZ3FQmvar8fpqyypLkq,https://api.spotify.com/v1/audio-analysis/6N1JZ3FQmvar8fpqyypLkq,69000,3,5
43,6VaWxlHDLaCW9rda413uaA,In Mari Miserie,Medieval & Gregorian Chant,Various Artists,2010-11-04,117000,0,0.24,0.103,0,-17.438,1,0.0368,0.936,0.0,0.152,0.302,123.832,audio_features,spotify:track:6VaWxlHDLaCW9rda413uaA,https://api.spotify.com/v1/tracks/6VaWxlHDLaCW9rda413uaA,https://api.spotify.com/v1/audio-analysis/6VaWxlHDLaCW9rda413uaA,117000,4,7
