id,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4HGIPyqDxSf863tPOwXiLJ,"Kiss the Girl - From ""The Little Mermaid""/ Soundtrack Version",Little Mermaid (Special Edition),Alan Menken,2006-01-01,163400,56,0.667,0.239,0,-15.923,1,0.0481,0.686,0.0,0.104,0.721,134.857,audio_features,spotify:track:4HGIPyqDxSf863tPOwXiLJ,https://api.spotify.com/v1/tracks/4HGIPyqDxSf863tPOwXiLJ,https://api.spotify.com/v1/audio-analysis/4HGIPyqDxSf863tPOwXiLJ,163400,4
2H3ZUSE54pST4ubRd5FzFR,Ain't No Mountain High Enough,United,Marvin Gaye,1967-08-29,151666,1,0.669,0.616,11,-10.776,0,0.033,0.482,0.0,0.179,0.818,130.037,audio_features,spotify:track:2H3ZUSE54pST4ubRd5FzFR,https://api.spotify.com/v1/tracks/2H3ZUSE54pST4ubRd5FzFR,https://api.spotify.com/v1/audio-analysis/2H3ZUSE54pST4ubRd5FzFR,151667,4
7EvAlx0lOLbZgCKH50wnUU,"Malhari (From ""Bajirao Mastani"")",Bajirao Mastani (Original Motion Picture Soundtrack),Sanjay Leela Bhansali,2015-11-25,244047,48,0.507,0.932,1,-4.501,0,0.0762,0.0592,0.0,0.302,0.311,114.961,audio_features,spotify:track:7EvAlx0lOLbZgCKH50wnUU,https://api.spotify.com/v1/tracks/7EvAlx0lOLbZgCKH50wnUU,https://api.spotify.com/v1/audio-analysis/7EvAlx0lOLbZgCKH50wnUU,244048,3
5dmlMfZajWNbUskAg9CN3V,Little Green Bag,Reservoir Dogs (Original Motion Picture Soundtrack),Various Artists,2009-01-01,195466,0,0.708,0.662,7,-12.385,1,0.0314,0.0371,0.000666,0.0745,0.874,103.476,audio_features,spotify:track:5dmlMfZajWNbUskAg9CN3V,https://api.spotify.com/v1/tracks/5dmlMfZajWNbUskAg9CN3V,https://api.spotify.com/v1/audio-analysis/5dmlMfZajWNbUskAg9CN3V,195467,4
5gOd6zDC8vhlYjqbQdJVWP,Baker Street,City to City,Gerry Rafferty,1978,365626,69,0.497,0.349,7,-14.0,1,0.0297,0.0929,0.028,0.259,0.421,113.762,audio_features,spotify:track:5gOd6zDC8vhlYjqbQdJVWP,https://api.spotify.com/v1/tracks/5gOd6zDC8vhlYjqbQdJVWP,https://api.spotify.com/v1/audio-analysis/5gOd6zDC8vhlYjqbQdJVWP,365627,4
6L89mwZXSOwYl76YXfX13s,Basket Case,Dookie,Green Day,1994-02-01,181533,79,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,audio_features,spotify:track:6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s,181533,4
22sLuJYcvZOSoLLRYev1s5,Material Girl,Celebration (double disc version),Madonna,2009-09-18,240280,72,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,audio_features,spotify:track:22sLuJYcvZOSoLLRYev1s5,https://api.spotify.com/v1/tracks/22sLuJYcvZOSoLLRYev1s5,https://api.spotify.com/v1/audio-analysis/22sLuJYcvZOSoLLRYev1s5,240280,4
5Z4EgTCCoObfO1WfrvrQ9v,The Logical Song,Supertramp - The Very Best Of,Supertramp,1990-01-01,249666,47,0.623,0.666,5,-9.255,0,0.0457,0.562,0.000228,0.148,0.729,120.247,audio_features,spotify:track:5Z4EgTCCoObfO1WfrvrQ9v,https://api.spotify.com/v1/tracks/5Z4EgTCCoObfO1WfrvrQ9v,https://api.spotify.com/v1/audio-analysis/5Z4EgTCCoObfO1WfrvrQ9v,249667,4
2YzgB2v1R00FoOLUB1JQmx,The Rains of Castamere (A Cappella),The Rains of Castamere (A Cappella),Peter Hollens,2013-06-07,137727,0,0.501,0.203,9,-16.509,0,0.0412,0.953,0.0,0.106,0.217,100.442,audio_features,spotify:track:2YzgB2v1R00FoOLUB1JQmx,https://api.spotify.com/v1/tracks/2YzgB2v1R00FoOLUB1JQmx,https://api.spotify.com/v1/audio-analysis/2YzgB2v1R00FoOLUB1JQmx,137728,4
6MTd61g9zq6CB1FnJydjEb,Sugar Sugar,Everything's Archie,The Archies,1969-11-14,167213,64,0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439,audio_features,spotify:track:6MTd61g9zq6CB1FnJydjEb,https://api.spotify.com/v1/tracks/6MTd61g9zq6CB1FnJydjEb,https://api.spotify.com/v1/audio-analysis/6MTd61g9zq6CB1FnJydjEb,167213,4
30SCXVFyQGOFMdKnbgJS18,I Can See Clearly Now,The Best Of,Johnny Nash,1996-05-04,166933,61,0.658,0.468,2,-13.19,1,0.0493,0.521,8.38e-05,0.066,0.684,124.227,audio_features,spotify:track:30SCXVFyQGOFMdKnbgJS18,https://api.spotify.com/v1/tracks/30SCXVFyQGOFMdKnbgJS18,https://api.spotify.com/v1/audio-analysis/30SCXVFyQGOFMdKnbgJS18,166933,4
6IAVxNFi1W88UhDeyvOsdo,Fat Bottomed Girls - 2011 Remaster,Jazz (2011 Remaster),Queen,1978-11-10,255600,65,0.332,0.683,2,-7.679,1,0.0491,0.0322,6.51e-06,0.342,0.419,88.522,audio_features,spotify:track:6IAVxNFi1W88UhDeyvOsdo,https://api.spotify.com/v1/tracks/6IAVxNFi1W88UhDeyvOsdo,https://api.spotify.com/v1/audio-analysis/6IAVxNFi1W88UhDeyvOsdo,255600,4
40NRm1ZLvZpUSCUXAGGZ8J,Kung Fu Fighting,The Soul of the Kung Fu Fighter,Carl Douglas,2001,197693,68,0.598,0.673,2,-10.431,1,0.0693,0.0422,6.84e-05,0.289,0.59,102.035,audio_features,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J,https://api.spotify.com/v1/tracks/40NRm1ZLvZpUSCUXAGGZ8J,https://api.spotify.com/v1/audio-analysis/40NRm1ZLvZpUSCUXAGGZ8J,197693,4
4sD5mD6uNxJEtEmuLZgKoj,Aililiu Na Gamhna,Celtic Woman Presents: The Water Is Wide,Órla Fallon,2005-01-01,154773,0,0.412,0.278,11,-13.919,0,0.0652,0.931,0.11,0.102,0.277,81.442,audio_features,spotify:track:4sD5mD6uNxJEtEmuLZgKoj,https://api.spotify.com/v1/tracks/4sD5mD6uNxJEtEmuLZgKoj,https://api.spotify.com/v1/audio-analysis/4sD5mD6uNxJEtEmuLZgKoj,154773,3
4zw0Ih25ilFwQdtkzzWA7s,ave cesaria,Racine Carrée (Standard US Version),Stromae,2013-01-01,249520,42,0.724,0.659,11,-8.254,0,0.202,0.117,2.89e-06,0.208,0.377,113.009,audio_features,spotify:track:4zw0Ih25ilFwQdtkzzWA7s,https://api.spotify.com/v1/tracks/4zw0Ih25ilFwQdtkzzWA7s,https://api.spotify.com/v1/audio-analysis/4zw0Ih25ilFwQdtkzzWA7s,249520,4
1lfjTOtTRUDkzcmahA4lcs,"I'll Be There for You (Theme from ""Friends')",I'll Be There For You (Theme From FRIENDS) / Snippets: Don't Hide Your Love / End Of The Beginning / Lovin' Me Insane / Drowning In Your Tears / This House Is Not A Home / What Will It Take [Digital 45],The Rembrandts,1995,187293,58,0.258,0.919,9,-6.927,1,0.0809,0.065,0.0,0.279,0.636,93.62,audio_features,spotify:track:1lfjTOtTRUDkzcmahA4lcs,https://api.spotify.com/v1/tracks/1lfjTOtTRUDkzcmahA4lcs,https://api.spotify.com/v1/audio-analysis/1lfjTOtTRUDkzcmahA4lcs,187293,4
6r20M5DWYdIoCDmDViBxuz,You Got It,Mystery Girl,Roy Orbison,1989,210266,68,0.649,0.618,9,-10.728,1,0.0265,0.596,1.46e-06,0.192,0.667,114.688,audio_features,spotify:track:6r20M5DWYdIoCDmDViBxuz,https://api.spotify.com/v1/tracks/6r20M5DWYdIoCDmDViBxuz,https://api.spotify.com/v1/audio-analysis/6r20M5DWYdIoCDmDViBxuz,210267,4
1Jwc3ODLQxtbnS8M9TflSP,Walk Like an Egyptian,The Essential Bangles,The Bangles,2004,204706,63,0.724,0.891,11,-7.818,1,0.0995,0.00344,4.72e-05,0.3,0.818,103.022,audio_features,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,https://api.spotify.com/v1/tracks/1Jwc3ODLQxtbnS8M9TflSP,https://api.spotify.com/v1/audio-analysis/1Jwc3ODLQxtbnS8M9TflSP,204707,4
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Blowin' Your Mind!,Van Morrison,1967-09,183306,80,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,audio_features,spotify:track:3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/tracks/3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/audio-analysis/3yrSvpt2l1xhsV9Em88Pul,183307,4
